codice_articolo,tipo_collo_1,tipo_collo_2,unita_misura_2,operatore_conversione,fattore_conversione
01.108              ,REP05,     ,,*,0.0000
01.131.01           ,,,,*,0.0000
01.131.02           ,REP05,     ,,*,0.0000
01.131.04           ,REP05,     ,,*,0.0000
01.131.10           ,,,,*,0.0000
01.131.33           ,,,,*,0.0000
01.131.38           ,REP05,,,*,0.0000
01.131.39           ,,,,*,0.0000
01.131.40           ,REP05,,,*,0.0000
01.131.71           ,REP05,,,*,0.0000
01.144              ,REP05,     ,,*,0.0000
01.160              ,REP05,     ,,*,0.0000
01.177              ,REP05,     ,,*,0.0000
01.270              ,REP05,,,*,0.0000
01.271              ,REP05,,,*,0.0000
01.316              ,REP05,     ,,*,0.0000
01.337              ,REP05,,,*,0.0000
01.341              ,REP05,,,*,0.0000
01.350              ,REP05,,,*,0.0000
01.493              ,REP05,,,*,0.0000
01.525              ,REP05,,,*,0.0000
0107                ,REP05,,,*,0.0000
012.110             ,REP05,,,*,0.0000
013.180800          ,REP05,     ,,*,0.0000
013.181000          ,REP05,     ,,*,0.0000
013.181200          ,REP05,     ,,*,0.0000
013.181400          ,REP05,     ,,*,0.0000
013.181600          ,REP05,     ,,*,0.0000
013.221600X210      ,REP05,     ,,*,0.0000
013.250600          ,REP05,     ,,*,0.0000
013.250800          ,REP05,     ,,*,0.0000
013.251000          ,REP05,     ,,*,0.0000
013.251200          ,REP05,     ,,*,0.0000
013.251400          ,REP05,     ,,*,0.0000
013.251600          ,REP05,     ,,*,0.0000
013.260600X100      ,REP05,     ,,*,0.0000
013.260600X150      ,REP05,     ,,*,0.0000
013.260800X120      ,REP05,     ,,*,0.0000
013.261000X120      ,REP05,     ,,*,0.0000
013.261200X150      ,REP05,     ,,*,0.0000
013.261400X200      ,REP05,     ,,*,0.0000
013.61250           ,REP05,     ,,*,0.0000
014                 ,REP05,,,*,0.0000
014.0201600         ,REP05,     ,,*,0.0000
014.0202200         ,REP05,     ,,*,0.0000
014.0202500         ,REP05,     ,,*,0.0000
014.0202700         ,REP05,     ,,*,0.0000
014.0203000         ,REP05,     ,,*,0.0000
014.0203500         ,REP05,     ,,*,0.0000
014.0203800         ,REP05,     ,,*,0.0000
014.0204000         ,REP05,     ,,*,0.0000
014.0205000         ,REP05,     ,,*,0.0000
014.0206000         ,REP05,     ,,*,0.0000
014.02E100          ,REP05,     ,,*,0.0000
014.02E220          ,REP05,     ,,*,0.0000
014.02E370          ,REP05,     ,,*,0.0000
014.02S100          ,REP05,     ,,*,0.0000
014.02S220          ,REP05,     ,,*,0.0000
014.02S370          ,REP05,     ,,*,0.0000
014.02S460          ,REP05,     ,,*,0.0000
014.02SMAX370       ,REP05,     ,,*,0.0000
014.03E100          ,REP05,     ,,*,0.0000
014.03E220          ,REP05,     ,,*,0.0000
014.03E370          ,REP05,     ,,*,0.0000
014.03S100          ,REP05,     ,,*,0.0000
014.03S220          ,REP05,     ,,*,0.0000
014.03S370          ,REP05,     ,,*,0.0000
014.03S460          ,REP05,     ,,*,0.0000
014.05S450          ,REP05,     ,,*,0.0000
0140/100            ,REP05,     ,,*,0.0000
0140/125            ,REP05,     ,,*,0.0000
0140/150            ,REP05,     ,,*,0.0000
0-15-211            ,REP05,     ,,*,0.0000
0157/50             ,REP05,,,*,0.0000
0158PLUS08          ,REP05,     ,,*,0.0000
0158PLUS09          ,REP05,     ,,*,0.0000
0158PLUS10          ,REP05,     ,,*,0.0000
016090810001        ,REP05,     ,,*,0.0000
016090812001        ,REP05,     ,,*,0.0000
016090814001        ,REP05,,,*,0.0000
016090816001        ,REP05,,,*,0.0000
016090820001        ,REP05,     ,,*,0.0000
016090822001        ,REP05,,,*,0.0000
016090824001        ,REP05,,,*,0.0000
016090826001        ,REP05,,,*,0.0000
016090828001        ,REP05,,,*,0.0000
016090830001        ,REP05,,,*,0.0000
01609088001         ,REP05,     ,,*,0.0000
0170S-09            ,REP05,     ,,*,0.0000
0170S-10            ,REP05,     ,,*,0.0000
02.001              ,REP05,,,*,0.0000
02.002              ,REP05,,,*,0.0000
02.004              ,REP05,     ,,*,0.0000
02.005              ,REP05,,,*,0.0000
02.006.04           ,REP05,     ,,*,0.0000
02.006.05           ,REP05,     ,,*,0.0000
02.006.50           ,REP05,     ,,*,0.0000
02.007              ,REP05,     ,,*,0.0000
02.007.04           ,REP05,     ,,*,0.0000
02.008              ,REP05,,,*,0.0000
02.009.11           ,REP05,     ,,*,0.0000
02.009.19           ,REP05,     ,,*,0.0000
02.009.20           ,REP05,,,*,0.0000
02.009.42           ,REP05,     ,,*,0.0000
02.009.43           ,REP05,     ,,*,0.0000
02.010              ,REP05,     ,,*,0.0000
02.011              ,REP05,,,*,0.0000
02.012.03           ,REP05,     ,,*,0.0000
02.013              ,REP05,     ,,*,0.0000
02.014              ,REP05,     ,,*,0.0000
02.015.02           ,REP05,     ,,*,0.0000
02.016              ,REP05,     ,,*,0.0000
02.017              ,REP05,,,*,0.0000
02.018.01           ,REP05,     ,,*,0.0000
02.018.08           ,REP05,     ,,*,0.0000
02.018.09           ,REP05,     ,,*,0.0000
02.018.19           ,REP05,     ,,*,0.0000
02.018.20           ,REP05,     ,,*,0.0000
02.019              ,REP05,     ,,*,0.0000
02.025              ,REP05,     ,,*,0.0000
02.028              ,REP05,     ,,*,0.0000
02.031              ,REP05,     ,,*,0.0000
02.032              ,REP05,     ,,*,0.0000
02.033              ,REP05,     ,,*,0.0000
02.035.03           ,REP05,     ,,*,0.0000
02.035.04           ,REP05,     ,,*,0.0000
02.035.05           ,REP05,     ,,*,0.0000
02.036              ,REP05,     ,,*,0.0000
02.038              ,REP05,     ,,*,0.0000
02.039              ,REP05,     ,,*,0.0000
02.041.04           ,REP05,     ,,*,0.0000
02.041.09           ,REP05,     ,,*,0.0000
02.041.11           ,REP05,     ,,*,0.0000
02.041.15           ,REP05,     ,,*,0.0000
02.042              ,REP05,     ,,*,0.0000
02.043.01           ,REP05,,,*,0.0000
02.043.05           ,REP05,     ,,*,0.0000
02.043.10           ,REP05,     ,,*,0.0000
02.043.31           ,REP05,     ,,*,0.0000
02.043.33           ,REP05,     ,,*,0.0000
02.043.42           ,REP05,,,*,0.0000
02.072              ,REP05,     ,,*,0.0000
02.073              ,REP05,     ,,*,0.0000
02.077.22           ,REP05,     ,,*,0.0000
02.077.25           ,REP05,     ,,*,0.0000
02.077.36           ,REP05,     ,,*,0.0000
02.077.37           ,REP05,     ,,*,0.0000
020.5008X125        ,REP05,,,*,0.0000
020.5010X15         ,REP05,,,*,0.0000
020.5206X1          ,REP05,,,*,0.0000
020.5208X125        ,REP05,,,*,0.0000
020.5210X15         ,REP05,,,*,0.0000
0201500             ,REP05,     ,,*,0.0000
0202650             ,REP05,,,*,0.0000
021.0106X1          ,REP05,,,*,0.0000
021.1706X075        ,REP05,,,*,0.0000
02116291301         ,REP05,     ,,*,0.0000
023.0103X05S        ,REP05,,,*,0.0000
023.01045X075S      ,REP05,,,*,0.0000
023.0104X07S        ,REP05,,,*,0.0000
023.0105X08S        ,REP05,,,*,0.0000
023.0106X1S         ,REP05,,,*,0.0000
023.0108X125S       ,REP05,,,*,0.0000
023.0110X15S        ,REP05,,,*,0.0000
023.0112X175S       ,REP05,,,*,0.0000
023.0116X2S         ,REP05,,,*,0.0000
023.0118X25S        ,REP05,,,*,0.0000
023.0203X05         ,REP05,,,*,0.0000
023.0204X07         ,REP05,,,*,0.0000
023.0205X08         ,REP05,,,*,0.0000
023.0206X1          ,REP05,,,*,0.0000
023.0208X125        ,REP05,,,*,0.0000
023.0210X1          ,REP05,,,*,0.0000
023.0212X175        ,REP05,,,*,0.0000
023.0214X2          ,REP05,,,*,0.0000
023.0216X2          ,REP05,,,*,0.0000
023.0430X2          ,REP05,,,*,0.0000
023A                ,REP05,,,*,0.0000
023G                ,REP05,     ,,*,0.0000
023P                ,REP05,     ,,*,0.0000
024.0106X1          ,REP05,,,*,0.0000
024.0108X125        ,REP05,,,*,0.0000
0252/400V           ,REP01,,,*,0.0000
026.01G1            ,REP05,,,*,0.0000
026.01G2            ,REP05,,,*,0.0000
026.02G1            ,REP05,,,*,0.0000
026.02G1.1/2        ,REP05,,,*,0.0000
026.02G2            ,REP05,,,*,0.0000
026.02G3            ,REP05,,,*,0.0000
026.02G4            ,REP05,,,*,0.0000
026.05G2            ,REP05,,,*,0.0000
0-28-232            ,REP05,     ,,*,0.0000
03.003              ,REP05,     ,,*,0.0000
03.004              ,REP05,     ,,*,0.0000
03.005              ,REP05,     ,,*,0.0000
03.012              ,REP05,     ,,*,0.0000
03.016              ,REP05,,,*,0.0000
03.020              ,REP05,     ,,*,0.0000
03.025.10           ,REP05,     ,,*,0.0000
03.034.29           ,REP05,     ,,*,0.0000
03.034.32           ,REP05,     ,,*,0.0000
03.034.41           ,REP05,     ,,*,0.0000
03.034.42           ,REP05,,,*,0.0000
03.107              ,REP05,     ,,*,0.0000
030.0101200         ,REP05,     ,,*,0.0000
030.0101300         ,REP05,     ,,*,0.0000
030.0101400         ,REP05,     ,,*,0.0000
030.0101500         ,REP05,     ,,*,0.0000
030.0101600         ,REP05,     ,,*,0.0000
030.0101700         ,REP05,     ,,*,0.0000
030.0101800         ,REP05,     ,,*,0.0000
030.0101900         ,REP05,     ,,*,0.0000
030.0102000         ,REP05,     ,,*,0.0000
030.0102100         ,REP05,     ,,*,0.0000
030.0102200         ,REP05,     ,,*,0.0000
030.0102300         ,REP05,     ,,*,0.0000
030.0102400         ,REP05,     ,,*,0.0000
030.0102500         ,REP05,     ,,*,0.0000
030.0102600         ,REP05,     ,,*,0.0000
030.0102700         ,REP05,     ,,*,0.0000
030.0102800         ,REP05,     ,,*,0.0000
030.0102900         ,REP05,     ,,*,0.0000
030.0103000         ,REP05,     ,,*,0.0000
030.0103100         ,REP05,     ,,*,0.0000
030.0103200         ,REP05,     ,,*,0.0000
030.0103300         ,REP05,     ,,*,0.0000
030.0103400         ,REP05,     ,,*,0.0000
030.0103500         ,REP05,     ,,*,0.0000
030.0103600         ,REP05,,,*,0.0000
030.0103700         ,REP05,,,*,0.0000
030.0103800         ,REP05,     ,,*,0.0000
030.0103900         ,REP05,     ,,*,0.0000
030.0104000         ,REP05,     ,,*,0.0000
030.0104100         ,REP05,     ,,*,0.0000
030.0104200         ,REP05,     ,,*,0.0000
030.0104300         ,REP05,     ,,*,0.0000
030.0104400         ,REP05,     ,,*,0.0000
030.0104500         ,REP05,     ,,*,0.0000
030.0104600         ,REP05,     ,,*,0.0000
030.0104700         ,REP05,     ,,*,0.0000
030.0104800         ,REP05,     ,,*,0.0000
030.0104900         ,REP05,,,*,0.0000
030.0105000         ,REP05,     ,,*,0.0000
030.0105100         ,REP05,     ,,*,0.0000
030.0105200         ,REP05,     ,,*,0.0000
030.0105300         ,REP05,     ,,*,0.0000
030.0105400         ,REP05,     ,,*,0.0000
030.0105500         ,REP05,     ,,*,0.0000
030.0105600         ,REP05,     ,,*,0.0000
030.0105700         ,REP05,     ,,*,0.0000
030.0105800         ,REP05,     ,,*,0.0000
030.0105900         ,REP05,     ,,*,0.0000
030.0106000         ,REP05,     ,,*,0.0000
030.0106500         ,REP05,     ,,*,0.0000
030.0107000         ,REP05,     ,,*,0.0000
030.0107500         ,REP05,     ,,*,0.0000
030.0108000         ,REP05,     ,,*,0.0000
030.0108500         ,REP05,     ,,*,0.0000
030.0109000         ,REP05,     ,,*,0.0000
030.0109500         ,REP05,     ,,*,0.0000
030.0110000         ,REP05,     ,,*,0.0000
030.040600          ,REP05,     ,,*,0.0000
030.1001700         ,REP05,     ,,*,0.0000
030.1002000         ,REP05,     ,,*,0.0000
030.1002700         ,REP05,     ,,*,0.0000
032.0101400         ,REP05,     ,,*,0.0000
032.0101600         ,REP05,     ,,*,0.0000
032.0101700         ,REP05,     ,,*,0.0000
032.0101900         ,REP05,,,*,0.0000
032.0102000         ,REP05,     ,,*,0.0000
032.0102200         ,REP05,     ,,*,0.0000
032.0102400         ,REP05,     ,,*,0.0000
032.0102500         ,REP05,     ,,*,0.0000
032.0102700         ,REP05,     ,,*,0.0000
032.0102900         ,REP05,     ,,*,0.0000
032.0103000         ,REP05,     ,,*,0.0000
032.0103200         ,REP05,     ,,*,0.0000
032.0103300         ,REP05,     ,,*,0.0000
032.0103500         ,REP05,,,*,0.0000
032.0103700         ,REP05,,,*,0.0000
032.0103800         ,REP05,     ,,*,0.0000
032.0104000         ,REP05,     ,,*,0.0000
032.0104100         ,REP05,     ,,*,0.0000
032.0104300         ,REP05,,,*,0.0000
032.0104400         ,REP05,     ,,*,0.0000
032.0104600         ,REP05,     ,,*,0.0000
032.0104800         ,REP05,     ,,*,0.0000
032.0105100         ,REP05,     ,,*,0.0000
032.0105200         ,REP05,,,*,0.0000
032.0105400         ,REP05,     ,,*,0.0000
032.0105700         ,REP05,     ,,*,0.0000
032.0105900         ,REP05,     ,,*,0.0000
032.0106000         ,REP05,     ,,*,0.0000
032.0106400         ,REP05,     ,,*,0.0000
032.0106500         ,REP05,     ,,*,0.0000
032.0107000         ,REP05,     ,,*,0.0000
032.0107900         ,REP05,     ,,*,0.0000
032.0108300         ,REP05,     ,,*,0.0000
032.0108600         ,REP05,,,*,0.0000
032.0110200         ,REP05,     ,,*,0.0000
032.0111400         ,REP05,,,*,0.0000
032.030950          ,REP05,,,*,0.0000
032.040950          ,REP05,,,*,0.0000
0-33-932            ,REP05,,,*,0.0000
034.01G06           ,REP05,,,*,0.0000
035.01G08           ,REP05,,,*,0.0000
03561201            ,REP05,,,*,0.0000
037.02Z208          ,REP05,     ,,*,0.0000
037.02Z210          ,REP05,     ,,*,0.0000
037.02Z212          ,REP05,     ,,*,0.0000
037.02Z308          ,REP05,     ,,*,0.0000
037.02Z310          ,REP05,     ,,*,0.0000
037.02Z312          ,REP05,     ,,*,0.0000
038.01T108          ,REP05,     ,,*,0.0000
038.01T112          ,REP05,     ,,*,0.0000
038.04T112          ,REP05,     ,,*,0.0000
038.08T110          ,REP05,     ,,*,0.0000
038.08T112          ,REP05,     ,,*,0.0000
039.012540          ,REP05,     ,,*,0.0000
04.033              ,REP05,     ,,*,0.0000
04.053              ,REP05,     ,,*,0.0000
04.056.08           ,REP05,     ,,*,0.0000
04.091              ,REP05,     ,,*,0.0000
04.098.09           ,REP05,     ,,*,0.0000
04.098.13           ,REP05,     ,,*,0.0000
04.103              ,REP05,     ,,*,0.0000
04.105              ,REP05,     ,,*,0.0000
04.106.01           ,REP05,,,*,0.0000
04.106.03           ,REP05,,,*,0.0000
04.106.05           ,REP05,,,*,0.0000
04.106.09           ,REP05,     ,,*,0.0000
04.106.10           ,REP05,,,*,0.0000
04.107              ,REP05,     ,,*,0.0000
04.120              ,REP05,,,*,0.0000
0403300             ,REP05,     ,,*,0.0000
042.011200          ,REP05,     ,,*,0.0000
042.011300          ,REP05,     ,,*,0.0000
042.011400          ,REP05,     ,,*,0.0000
042.011500          ,REP05,,,*,0.0000
042.011600          ,REP05,,,*,0.0000
042.011700          ,REP05,,,*,0.0000
042.011800          ,REP05,,,*,0.0000
042.011900          ,REP05,     ,,*,0.0000
042.012000          ,REP05,     ,,*,0.0000
042.012100          ,REP05,     ,,*,0.0000
042.012200          ,REP05,,,*,0.0000
042.012300          ,REP05,     ,,*,0.0000
042.012400          ,REP05,     ,,*,0.0000
042.012500          ,REP05,     ,,*,0.0000
042.012600          ,REP05,     ,,*,0.0000
042.012700          ,REP05,     ,,*,0.0000
042.012800          ,REP05,     ,,*,0.0000
042.012900          ,REP05,     ,,*,0.0000
042.013000          ,REP05,     ,,*,0.0000
042.016000          ,REP05,     ,,*,0.0000
042.025000          ,REP05,,,*,0.0000
042.026000          ,REP05,,,*,0.0000
042.0501            ,REP05,,,*,0.0000
0-42-087            ,REP05,,,*,0.0000
042124              ,REP05,     ,,*,0.0000
04L2B1500X3000X020  ,REP01,,FG ,*,96.0000
05.043.01           ,REP05,     ,,*,0.0000
05.043.04           ,REP05,     ,,*,0.0000
05.045              ,REP05,     ,,*,0.0000
05.046              ,REP05,     ,,*,0.0000
05.059              ,REP05,     ,,*,0.0000
05.062              ,REP05,     ,,*,0.0000
05.081.50           ,REP05,,,*,0.0000
05.085              ,REP05,     ,,*,0.0000
05.094              ,REP05,,,*,0.0000
05.139              ,REP05,     ,,*,0.0000
05.142              ,REP05,,,*,0.0000
05.157B.04S         ,REP05,     ,,*,0.0000
05.195              ,REP05,     ,,*,0.0000
05.422.100          ,REP05,     ,,*,0.0000
05.437              ,REP05,     ,,*,0.0000
05.437.01           ,REP05,     ,,*,0.0000
05.438              ,REP05,     ,,*,0.0000
05.438.02           ,REP05,     ,,*,0.0000
05.440              ,REP05,     ,,*,0.0000
05.440.03           ,REP05,     ,,*,0.0000
05.485              ,REP05,     ,,*,0.0000
05.562              ,REP05,     ,,*,0.0000
0555525             ,REP05,     ,,*,0.0000
0574525R            ,REP05,     ,,*,0.0000
06.008              ,REP05,     ,,*,0.0000
06.009              ,REP05,     ,,*,0.0000
06.017              ,REP05,     ,,*,0.0000
06.029.10           ,REP05,,,*,0.0000
0613100B            ,REP05,,,*,0.0000
0613200B            ,REP05,     ,,*,0.0000
0616                ,,,,*,0.0000
0645/C              ,REP05,     ,,*,0.0000
067300AP            ,REP05,,,*,0.0000
0677                ,REP05,,,*,0.0000
0677/CG             ,REP05,,,*,0.0000
0680                ,REP05,,,*,0.0000
07.016              ,REP05,,,*,0.0000
070.02F38113        ,REP05,     ,,*,0.0000
070.11F1/21513      ,REP05,     ,,*,0.0000
07129001            ,REP05,,,*,0.0000
07130001            ,REP05,,,*,0.0000
07131001            ,REP05,,,*,0.0000
0757                ,REP01,,,*,0.0000
0773/10             ,REP05,     ,,*,0.0000
08.001              ,REP05,     ,,*,0.0000
08.006.01           ,REP05,     ,,*,0.0000
08.023              ,REP05,     ,,*,0.0000
08.024              ,REP05,     ,,*,0.0000
08.025              ,REP05,     ,,*,0.0000
08.029.01           ,REP05,     ,,*,0.0000
08.066              ,REP05,,,*,0.0000
08.092              ,REP05,,,*,0.0000
08.097              ,REP05,,,*,0.0000
08.101              ,REP05,     ,,*,0.0000
08.103              ,REP05,     ,,*,0.0000
08.110              ,REP05,,,*,0.0000
08.111              ,REP05,,,*,0.0000
08.112              ,REP05,     ,,*,0.0000
08.115              ,REP05,     ,,*,0.0000
08.116              ,REP05,     ,,*,0.0000
08.118              ,REP05,     ,,*,0.0000
08.119              ,REP05,     ,,*,0.0000
08.120              ,REP05,     ,,*,0.0000
08.153              ,REP05,,,*,0.0000
08.156              ,REP05,     ,,*,0.0000
08.157              ,REP05,     ,,*,0.0000
08.158              ,REP05,     ,,*,0.0000
08.164              ,REP05,     ,,*,0.0000
08.165              ,REP05,     ,,*,0.0000
08362               ,REP05,     ,,*,0.0000
08415M              ,REP05,     ,,*,0.0000
08418M              ,REP05,     ,,*,0.0000
089001201           ,REP05,     ,,*,0.0000
09.1020             ,REP05,,,*,0.0000
09.211              ,REP05,     ,,*,0.0000
09.212              ,REP05,     ,,*,0.0000
09.215              ,REP05,     ,,*,0.0000
09.221              ,REP05,     ,,*,0.0000
09.468.13           ,REP05,     ,,*,0.0000
09.468.14           ,REP05,     ,,*,0.0000
09.468.23           ,REP05,     ,,*,0.0000
09.999.12           ,REP05,,,*,0.0000
09.999.21           ,REP05,,,*,0.0000
09.999.24           ,REP05,,,*,0.0000
09081502GF          ,REP05,     ,,*,0.0000
0910045LR6          ,REP05,     ,,*,0.0000
0-94-611            ,REP05,,,*,0.0000
099.210200          ,REP05,     ,,*,0.0000
099.210250          ,REP05,     ,,*,0.0000
099.210300          ,REP05,     ,,*,0.0000
099.210400          ,REP05,     ,,*,0.0000
099.210500          ,REP05,     ,,*,0.0000
099.210600          ,REP05,     ,,*,0.0000
099.210800          ,REP05,     ,,*,0.0000
099.8011            ,REP05,     ,,*,0.0000
099070002           ,REP05,     ,,*,0.0000
099070003           ,REP05,     ,,*,0.0000
099070004           ,REP05,     ,,*,0.0000
099070005           ,REP05,     ,,*,0.0000
099070006           ,REP05,     ,,*,0.0000
0VARIE              ,REP05,,,*,0.0000
10.018              ,REP05,,,*,0.0000
10.019              ,REP05,,,*,0.0000
10.152.18           ,REP05,,,*,0.0000
10.152.21           ,REP05,,,*,0.0000
100000000004505     ,REP05,,,*,0.0000
10000088150001      ,REP05,,,*,0.0000
10000088150002      ,REP05,     ,,*,0.0000
10000088150003      ,REP05,,,*,0.0000
10000088150004      ,REP05,     ,,*,0.0000
10000088150007      ,REP05,     ,,*,0.0000
10000088150008      ,REP05,     ,,*,0.0000
10000088150009      ,REP05,     ,,*,0.0000
10000088150011      ,REP05,     ,,*,0.0000
10000088150015      ,REP05,     ,,*,0.0000
10000088150016      ,REP05,     ,,*,0.0000
10000088150021      ,REP05,     ,,*,0.0000
10000088150030      ,REP05,     ,,*,0.0000
10000088150040      ,REP05,,,*,0.0000
10000088150042      ,REP05,     ,,*,0.0000
10000088150049      ,REP05,     ,,*,0.0000
10000088150053      ,REP05,     ,,*,0.0000
10000088150054      ,REP05,     ,,*,0.0000
10000088150055      ,REP05,     ,,*,0.0000
10000088150056      ,REP05,,,*,0.0000
10000088150057      ,REP05,,,*,0.0000
10000088150058      ,REP05,,,*,0.0000
10000088150062      ,REP05,     ,,*,0.0000
10000088150064      ,REP05,     ,,*,0.0000
10000088150065      ,REP05,     ,,*,0.0000
